"RICH","FISH","TOTNITR","W_DEPTH_MEAN","TURB","DISOXY","COND","TEMP","POND_AREA"
1,0,0.564857142857143,26.56,9.9,9.63928571428572,91.875,22.3035714285714,0.41
1,0,0.781571428571429,27.61,38.4166666666667,11.4571428571429,173.833333333333,22.8392857142857,0.26
0,0,0.840571428571429,13.95,15.5333333333333,9.87142857142857,262.5,22.75,0.48
0,1,0.145285714285714,7.1,17.4,13.0857142857143,333.654761904762,23.4285714285714,5.58
1,0,0.193428571428571,7.54,20.5428571428571,10.2928571428571,67.4642857142857,22.7142857142857,0.19
1,0,0.195928571428571,26.39,19.9285714285714,10.3857142857143,143.678571428571,22.2321428571429,0.04
1,0,0.250857142857143,16.66,18.1714285714286,10.4928571428571,96.3214285714286,22.75,0.12
0,1,0.281928571428571,8.2,6.4,7.77857142857143,346.464285714286,19.9107142857143,0.3
0,0,1.29,9.25,42,3.85,65.5,21.5,0.06
0,1,0.5375,13.53,63,6.53333333333333,224,21,0.17
1,0,0.437,10.67,35.6,3.7425,190.65,24.25,0.32
0,1,0.1075,3.03,18,7.825,666,23.75,0.54
0,1,0.0734214285714286,25.29,5.75714285714286,13.0464285714286,392.214285714286,20.125,0.38
0,0,3.55785714285714,10.79,56.1428571428571,13.9321428571429,524.357142857143,22.6428571428571,0.1
1,0,0.363142857142857,7.13,48.3,6.32142857142857,102.357142857143,20.4107142857143,0.39
1,1,0.0359785714285714,10.98,11.0714285714286,10.9714285714286,489.785714285714,20.3928571428571,1.6
1,0,0.2365,7,9,12,179,20.5,0.03
0,0,7.175,0.88,100,20,962,21.25,0.07
1,0,0.296571428571429,16.22,8.12857142857143,9.97380952380952,117.142857142857,19.8392857142857,0.53
1,1,0.7325,2,12,9.15,431,18.5,0.27
0,1,0.008,15.57,2.5,18,277.25,23.75,0.4
1,0,0.2225,8.31,15,10.125,284.25,22,0.19
1,0,0.149928571428571,10.6,9.97142857142857,11.0107142857143,148.142857142857,21.4642857142857,0.09
1,0,0.2655,1.54,7,11.275,405.25,18.75,0.1
1,0,0.220142857142857,12.59,70.2142857142857,8.29285714285714,72.3214285714286,25.2142857142857,0.04
1,0,0.427857142857143,17.81,36.0042857142857,13.3035714285714,216.464285714286,24.7,0.24
1,0,0.206071428571429,7.04,34,10.05,114.321428571429,24.3214285714286,0.05
1,0,0.5266,3.32,9.9,7.465,257.2,26.05,0.27
1,0,0.0725,11.11,9,9.9,77.5,18.75,0.06
1,0,0.3445,12.18,21,12.1,183.75,20.5,0.65
0,0,14.7635,6.34,74.5714285714286,12.2285714285714,1269.25,20.8571428571429,0.1
1,1,0.159,4.21,7.83571428571429,7.46071428571428,415.285714285714,22.1071428571429,0.33
1,0,0.2125,23.45,6.7,11.05,144.5,21,0.17
1,0,0.078,17.83,8.1,9.4,111.5,20.75,0.28
1,0,0.0832857142857143,13.32,7.45,9.75833333333333,165.833333333333,23.7083333333333,0.08
1,1,0.1845,5.5,4.5,11.15,526.5,24.5,0.38
1,1,0.129928571428571,14.85,28.8333333333333,10.9571428571429,69.5357142857143,23.1428571428571,0.04
0,0,1.65757857142857,5.76,66.1666666666667,7.76071428571429,202.714285714286,22.8035714285714,0.23
1,0,0.181785714285714,7.18,12.0166666666667,12.4214285714286,117.928571428571,21.925,0.15
0,1,0.0581357142857143,7.93,4.21666666666667,13.9107142857143,338.392857142857,21.9642857142857,0.76
